dia_de_semana,hora,linea,estacion,trx_promedio
False,8,E,MEDALLA MILAGROSA,3.9714285714285715
False,8,E,PICHINCHA,5.420289855072464
False,8,E,PZA. DE LOS VIRREYES,11.005847953216374
False,8,E,RETIRO E,2.883177570093458
False,8,E,SAN JOSE,7.73015873015873
False,8,E,URQUIZA,7.295081967213115
False,8,E,VARELA,7.063492063492063
False,8,H,CASEROS,8.182539682539682
False,8,H,CORDOBA,8.706521739130435
False,8,H,CORRIENTES,4.882352941176471
False,8,H,FACULTAD DE DERECHO,1.7463768115942029
False,8,H,HOSPITALES,22.345238095238095
False,8,H,HUMBERTO I,16.611940298507463
False,8,H,INCLAN,18.5
False,8,H,LAS HERAS,9.275
False,8,H,ONCE,15.248756218905474
False,8,H,PATRICIOS,15.776223776223777
False,8,H,SANTA FE,6.333333333333333
False,8,H,VENEZUELA,13.669491525423728
False,9,A,ACOYTE,8.527896995708154
False,9,A,ALBERTI,10.365853658536585
False,9,A,CARABOBO,7.688034188034188
False,9,A,CASTRO BARROS,11.673202614379084
False,9,A,CONGRESO,11.24705882352941
False,9,A,FLORES,11.06806282722513
False,9,A,LIMA,9.161971830985916
False,9,A,LORIA,9.89171974522293
False,9,A,PASCO,5.569767441860465
False,9,A,PERU,3.652173913043478
False,9,A,PIEDRAS,5.924731182795699
False,9,A,PLAZA DE MAYO,11.129032258064516
False,9,A,PLAZA MISERERE,9.24187725631769
False,9,A,PRIMERA JUNTA,17.30666666666667
False,9,A,PUAN,9.248
False,9,A,RIO DE JANEIRO,12.503355704697986
False,9,A,SAENZ PEÃÂÃÂ±A ,7.98051948051948
False,9,A,SAN PEDRITO,15.104938271604938
False,9,B,ANGEL GALLARDO,14.254335260115607
False,9,B,CALLAO.B,9.470899470899472
False,9,B,CARLOS GARDEL,9.680628272251308
False,9,B,CARLOS PELLEGRINI,17.55263157894737
False,9,B,DORREGO,6.629107981220657
False,9,B,ECHEVERRIA,7.224489795918367
False,9,B,FEDERICO LACROZE,12.401209677419354
False,9,B,FLORIDA,4.884057971014493
False,9,B,LEANDRO N. ALEM,10.683035714285714
False,9,B,LOS INCAS,10.496969696969696
False,9,B,MALABIA,13.97549019607843
False,9,B,MEDRANO,15.127167630057803
False,9,B,PASTEUR,7.920454545454546
False,9,B,PUEYRREDON,8.247524752475247
False,9,B,ROSAS,16.95046439628483
False,9,B,TRONADOR,8.021052631578947
False,9,B,URUGUAY,5.798913043478261
False,9,C,AVENIDA DE MAYO,8.352272727272727
False,9,C,CONSTITUCION,31.367816091954023
False,9,C,DIAGONAL NORTE,3.744186046511628
False,9,C,GENERAL SAN MARTIN,5.405172413793103
False,9,C,INDEPENDENCIA,9.256198347107437
False,9,C,LAVALLE,6.979166666666667
False,9,C,MARIANO MORENO,3.542483660130719
False,9,C,RETIRO,23.177177177177178
False,9,C,SAN JUAN,10.673684210526316
False,9,D,9 DE JULIO,4.592920353982301
False,9,D,AGÃÂÃÂ¼ERO,16.423423423423422
False,9,D,BULNES,13.039735099337749
False,9,D,CALLAO,12.939130434782609
False,9,D,CATEDRAL,5.763636363636364
False,9,D,CONGRESO DE TUCUMAN,10.19591836734694
False,9,D,FACULTAD DE MEDICINA,8.952631578947368
False,9,D,JOSE HERNANDEZ,7.7745098039215685
False,9,D,JURAMENTO,9.657407407407407
False,9,D,MINISTRO CARRANZA,15.266187050359711
False,9,D,OLLEROS,9.00523560209424
False,9,D,PALERMO,21.266666666666666
False,9,D,PLAZA ITALIA,16.020833333333332
False,9,D,PUEYRREDON.D,12.0
False,9,D,SCALABRINI ORTIZ,12.180645161290322
False,9,D,TRIBUNALES,7.376146788990826
False,9,E,AVENIDA LA PLATA,10.786516853932584
False,9,E,BOEDO,9.826086956521738
False,9,E,BOLIVAR,4.664335664335664
False,9,E,CATALINAS,1.3962264150943395
False,9,E,CORREO CENTRAL,2.3311258278145695
False,9,E,EMILIO MITRE,10.40625
False,9,E,ENTRE RIOS,8.56043956043956
False,9,E,GENERAL BELGRANO,5.872727272727273
False,9,E,INDEPENDENCIA.H,7.594827586206897
False,9,E,JOSE MARIA MORENO,10.464285714285714
False,9,E,JUJUY,10.025316455696203
False,9,E,MEDALLA MILAGROSA,4.538461538461538
False,9,E,PICHINCHA,5.987179487179487
False,9,E,PZA. DE LOS VIRREYES,8.885572139303482
False,9,E,RETIRO E,2.543778801843318
False,9,E,SAN JOSE,8.587301587301587
False,9,E,URQUIZA,8.04054054054054
False,9,E,VARELA,6.5625
False,9,H,CASEROS,8.67716535433071
False,9,H,CORDOBA,10.880434782608695
False,9,H,CORRIENTES,6.772357723577236
False,9,H,FACULTAD DE DERECHO,1.9523809523809523
False,9,H,HOSPITALES,20.520958083832337
False,9,H,HUMBERTO I,22.70149253731343
False,9,H,INCLAN,23.0625
False,9,H,LAS HERAS,12.21311475409836
False,9,H,ONCE,16.099009900990097
False,9,H,PATRICIOS,15.86231884057971
False,9,H,SANTA FE,7.073891625615763
False,9,H,VENEZUELA,17.205128205128204
False,10,A,ACOYTE,10.65236051502146
False,10,A,ALBERTI,11.494623655913978
False,10,A,CARABOBO,8.734439834024895
False,10,A,CASTRO BARROS,14.58
False,10,A,CONGRESO,12.787709497206704
False,10,A,FLORES,12.180851063829786
False,10,A,LIMA,9.853333333333333
False,10,A,LORIA,11.301775147928995
False,10,A,PASCO,7.064516129032258
False,10,A,PERU,4.685393258426966
False,10,A,PIEDRAS,6.791666666666667
False,10,A,PLAZA DE MAYO,10.818181818181818
False,10,A,PLAZA MISERERE,9.823728813559322
False,10,A,PRIMERA JUNTA,16.307692307692307
False,10,A,PUAN,10.65079365079365
False,10,A,RIO DE JANEIRO,14.624203821656051
False,10,A,SAENZ PEÃÂÃÂ±A ,8.550632911392405
False,10,A,SAN PEDRITO,16.181538461538462
False,10,B,ANGEL GALLARDO,17.798850574712645
False,10,B,CALLAO.B,12.631578947368421
False,10,B,CARLOS GARDEL,12.802083333333334
False,10,B,CARLOS PELLEGRINI,21.379746835443036
False,10,B,DORREGO,7.582159624413146
False,10,B,ECHEVERRIA,7.3311688311688314
False,10,B,FEDERICO LACROZE,11.371534195933457
False,10,B,FLORIDA,7.6453900709219855
False,10,B,LEANDRO N. ALEM,10.004672897196262
False,10,B,LOS INCAS,10.993865030674847
False,10,B,MALABIA,15.853658536585366
False,10,B,MEDRANO,20.02840909090909
False,10,B,PASTEUR,10.754010695187166
False,10,B,PUEYRREDON,11.094059405940595
False,10,B,ROSAS,16.107361963190183
False,10,B,TRONADOR,10.510416666666666
False,10,B,URUGUAY,7.407582938388626
False,10,C,AVENIDA DE MAYO,9.91304347826087
False,10,C,CONSTITUCION,27.14245810055866
False,10,C,DIAGONAL NORTE,3.9906542056074765
False,10,C,GENERAL SAN MARTIN,6.6976744186046515
False,10,C,INDEPENDENCIA,10.616666666666667
False,10,C,LAVALLE,9.1875
False,10,C,MARIANO MORENO,4.211764705882353
False,10,C,RETIRO,21.392330383480825
False,10,C,SAN JUAN,11.789473684210526
False,10,D,9 DE JULIO,5.553719008264463
False,10,D,AGÃÂÃÂ¼ERO,19.75438596491228
False,10,D,BULNES,17.5974025974026
False,10,D,CALLAO,16.163793103448278
False,10,D,CATEDRAL,6.447963800904978
False,10,D,CONGRESO DE TUCUMAN,10.411650485436894
False,10,D,FACULTAD DE MEDICINA,11.717277486910994
False,10,D,JOSE HERNANDEZ,8.858536585365854
False,10,D,JURAMENTO,11.9009009009009
False,10,D,MINISTRO CARRANZA,15.386666666666667
False,10,D,OLLEROS,9.767326732673267
False,10,D,PALERMO,20.607142857142858
False,10,D,PLAZA ITALIA,22.291666666666668
False,10,D,PUEYRREDON.D,15.21875
False,10,D,SCALABRINI ORTIZ,15.384615384615385
False,10,D,TRIBUNALES,10.475
False,10,E,AVENIDA LA PLATA,12.322222222222223
False,10,E,BOEDO,11.421052631578947
False,10,E,BOLIVAR,5.077922077922078
False,10,E,CATALINAS,1.6048387096774193
False,10,E,CORREO CENTRAL,2.4262295081967213
False,10,E,EMILIO MITRE,10.96875
False,10,E,ENTRE RIOS,10.53763440860215
False,10,E,GENERAL BELGRANO,6.419354838709677
False,10,E,INDEPENDENCIA.H,8.336134453781513
False,10,E,JOSE MARIA MORENO,11.818181818181818
False,10,E,JUJUY,10.383720930232558
False,10,E,MEDALLA MILAGROSA,4.521739130434782
False,10,E,PICHINCHA,7.325301204819277
False,10,E,PZA. DE LOS VIRREYES,9.105263157894736
